"Tabela 4711 - Domicílios recenseados, por espécie"
"Variável - Domicílios recenseados (Domicílios)"
"Município";"Ano x Espécie"
"Município";"2022"
"Município";"Total"
"Alta Floresta D'Oeste (RO)";"10081"
"Ariquemes (RO)";"44157"
"Cabixi (RO)";"2927"
"Cacoal (RO)";"40930"
"Cerejeiras (RO)";"7069"
"Colorado do Oeste (RO)";"8150"
"Corumbiara (RO)";"3960"
"Costa Marques (RO)";"5854"
"Espigão D'Oeste (RO)";"13173"
"Guajará-Mirim (RO)";"15954"
"Jaru (RO)";"24078"
"Ji-Paraná (RO)";"56566"
"Machadinho D'Oeste (RO)";"15087"
"Nova Brasilândia D'Oeste (RO)";"7861"
"Ouro Preto do Oeste (RO)";"16423"
"Pimenta Bueno (RO)";"16464"
"Porto Velho (RO)";"203556"
"Presidente Médici (RO)";"9484"
"Rio Crespo (RO)";"1772"
"Rolim de Moura (RO)";"25631"
"Santa Luzia D'Oeste (RO)";"3580"
"Vilhena (RO)";"42599"
"São Miguel do Guaporé (RO)";"10321"
"Nova Mamoré (RO)";"12082"
"Alvorada D'Oeste (RO)";"6206"
"Alto Alegre dos Parecis (RO)";"5188"
"Alto Paraíso (RO)";"7563"
"Buritis (RO)";"13246"
"Novo Horizonte do Oeste (RO)";"3961"
"Cacaulândia (RO)";"2274"
"Campo Novo de Rondônia (RO)";"4820"
"Candeias do Jamari (RO)";"10983"
"Castanheiras (RO)";"1753"
"Chupinguaia (RO)";"4250"
"Cujubim (RO)";"7604"
"Governador Jorge Teixeira (RO)";"4039"
"Itapuã do Oeste (RO)";"4116"
"Ministro Andreazza (RO)";"3412"
"Mirante da Serra (RO)";"5002"
"Monte Negro (RO)";"5927"
"Nova União (RO)";"2885"
"Parecis (RO)";"2384"
"Pimenteiras do Oeste (RO)";"1239"
"Primavera de Rondônia (RO)";"1500"
"São Felipe D'Oeste (RO)";"2423"
"São Francisco do Guaporé (RO)";"7562"
"Seringueiras (RO)";"5190"
"Teixeirópolis (RO)";"2031"
"Theobroma (RO)";"4385"
"Urupá (RO)";"5041"
"Vale do Anari (RO)";"3914"
"Vale do Paraíso (RO)";"3453"
"Acrelândia (AC)";"5708"
"Assis Brasil (AC)";"3002"
"Brasiléia (AC)";"10946"
"Bujari (AC)";"5845"
"Capixaba (AC)";"4222"
"Cruzeiro do Sul (AC)";"31869"
"Epitaciolândia (AC)";"8125"
"Feijó (AC)";"11467"
"Jordão (AC)";"2459"
"Mâncio Lima (AC)";"7067"
"Manoel Urbano (AC)";"4010"
